Temperature,Humidity
20.87974371,82.00274423
21.77046169,80.31964408
23.00445915,82.3207629
26.49109635,80.15836264
20.13017482,81.60487287
23.05804872,83.37011772
22.70883798,82.63941394
20.27774362,82.89408619
24.51588066,83.5352163
23.22397386,83.03322691
26.52723513,81.41753846
23.97898217,81.45061596
26.80079604,80.88684822
24.01497622,82.05687182
25.66585205,80.66385045
24.28209415,80.30025587
21.58711777,82.7883708
23.79391957,80.41817957
21.8652524,80.1923008
23.57943626,83.58760316
21.32504158,80.47476396
25.15745531,83.11713476
21.94766735,80.97384195
21.0525355,82.67839517
23.48381344,81.33265073
25.0756354,80.52389148
26.35927159,84.04403589
24.52922681,80.54498576
20.77576147,84.49774397
22.30157427,80.64416466
21.44653958,84.94375962
22.17931888,80.33127223
24.52783742,82.73685569
20.26707606,81.63895217
25.7354293,83.88266234
26.79533926,82.1480873
26.75754171,81.17734011
23.86330467,83.15250801
21.01944696,82.95221726
24.17298839,83.7287574
22.78133816,82.06719137
25.62980105,83.52842314
25.59704938,80.14509262
23.83067496,84.81360127
26.31355498,82.36698992
24.8972823,80.52586088
24.958779,84.47963372
23.24113501,84.59201843
21.66628296,80.70960551
24.63544858,80.41363018
23.43121862,83.06310136
20.0454142,80.3477562
23.85724032,82.22572988
21.97199397,81.89918197
26.22916897,83.83625819
23.44676801,84.79352417
25.65553461,83.47021081
24.44345477,82.45432595
20.2801937,82.1235421
21.7238313,80.2389895
20.41447029,82.20802629
25.75528612,83.51827127
20.61521424,83.77345559
21.84106875,80.72886384
20.08369642,83.29114712
24.45802087,82.74835604
21.14347496,80.33502926
25.78720567,82.11124033
23.64124821,80.28597873
23.43191632,80.56887849
24.97669518,83.891805
22.72791041,82.1706881
24.87300744,82.84022551
21.32376327,83.00320459
26.29465461,84.56919326
22.2286982,81.85872947
26.73072391,81.78596776
24.88921174,81.97927117
26.88444878,81.46033732
22.67846116,83.72874389
26.08867875,80.37979919
25.42977518,82.94682591
26.40323239,81.05635517
26.04371967,84.96907151
25.2827223,80.54372813
22.08576562,83.47038318
23.28617173,81.43321641
25.48591986,81.40633547
23.67575393,81.03569343
20.82477109,84.1341879
26.92995077,81.91411159
23.83509503,83.88387074
26.52872817,80.12267476
26.46428311,83.85642678
22.69657794,82.81088865
22.68319059,83.46358271
21.53346343,82.14004101
21.40865769,83.3293191
26.54348085,84.67353597
23.35905428,83.59512273
22.61359953,63.69070564
26.10018422,71.57476937
23.55882094,71.59351368
19.97215954,57.68272924
18.47891261,62.69503871
21.77689322,57.80840636
25.6217169,66.50415474
25.19192419,66.6902901
20.41683147,62.5542482
24.92162194,66.78627406
23.31689124,73.4541537
24.84016732,68.3584573
22.27526694,58.84015925
18.87751445,65.76816093
25.19008683,60.2001687
18.25405352,55.28220433
24.6129118,70.4162444
25.1420613,65.26185135
23.09348056,60.1159381
18.05033737,62.89366992
24.9321581,73.80435276
18.14710054,71.09445342
18.28362235,66.65952796
18.83344471,58.75082029
25.71895816,67.22190688
25.33797709,68.49835977
23.89114571,57.48775781
21.53574127,71.50905983
23.08974909,63.10459626
25.61707368,63.4711755
21.44526922,63.1621551
18.51816776,55.53128131
22.53510514,67.99257471
23.02038334,61.89472002
24.89364635,65.61418761
25.77175115,74.089114
19.39851734,62.35750641
21.54156232,59.64024162
23.79746068,74.82913698
18.9802729,74.52600826
24.10859207,73.13112261
24.7947077,70.04556743
21.63162756,60.27766379
25.37548751,57.21025565
22.21738222,72.85462807
20.58314011,69.00128641
24.87502824,68.74248334
20.03728219,56.35606753
25.95263264,61.89082199
19.28889933,65.47050802
20.57981887,65.34583901
24.71417533,56.73426469
20.27317074,63.91281869
18.41932981,64.23580251
23.39128187,61.74427165
19.84939404,61.24500053
21.869274,61.91044947
22.8056033,56.50768935
19.0781471,69.02298571
22.02720976,65.35549924
23.80546189,59.24537979
18.52510753,69.0276233
23.50297882,61.32026065
26.54986394,72.89187265
19.29563411,69.63481219
20.68899915,59.4375337
19.32666088,68.034493
24.60532218,73.58868502
22.27373646,59.52193158
25.70196694,61.33450447
19.20129357,68.30578978
21.70181447,60.47470519
20.51716779,59.21235483
23.30355338,73.62548442
24.2547451,55.64709899
24.86374934,65.7420046
22.6265115,65.77472881
18.04185513,60.61494304
23.26237612,72.33125523
22.88330922,71.59722446
25.97482359,69.36385721
26.14384005,66.20569924
18.66116213,61.55327249
25.10787449,55.97732754
23.33844615,59.24580604
25.08239719,65.92195844
25.36768364,72.52054555
25.34217103,63.31801994
25.00933355,67.816568
18.66746724,71.516474
20.37999665,63.73849998
18.09300227,72.61024172
26.16985907,71.96246617
18.65396672,61.37879671
26.07470121,59.37147589
18.92851916,72.80086137
23.30546753,63.24648023
18.74826712,62.49878458
19.74213321,59.66263104
25.73044432,70.74739256
17.02498456,16.98861173
19.02061277,17.13159126
17.88776475,15.40589717
18.86805647,15.65809214
18.36952567,19.56381041
20.45078582,15.40312102
20.6543203,16.60820843
17.3348681,18.74926979
18.17912258,18.90426935
18.01272266,18.30968112
20.99373558,19.33470387
19.46233971,15.22538951
19.81344531,14.69765308
18.97424756,19.5161216
18.19737048,14.71070537
18.72963144,19.18197264
20.99502153,19.8601304
20.28155898,16.39535215
17.48042641,15.7559405
20.88818675,14.32313811
17.08498521,16.14565756
20.09340593,15.11279612
17.57212145,14.99927489
19.12065218,18.43475844
18.57665902,19.22008229
17.16606398,14.42457525
18.2872007,16.67921616
19.03025305,18.66725565
17.1418614,17.0662427
17.47809436,17.93253975
20.56601874,14.25803981
17.22385224,15.82069268
19.69141713,19.44225438
17.84851658,19.09172907
18.8202251,16.1074793
17.47500984,16.54314829
18.72649425,17.58406365
18.65580107,16.17772668
18.2356751,19.68538502
18.81198127,15.21618225
18.65054116,17.80852431
20.36720401,16.89574311
18.38120357,16.63805158
17.17012591,17.30457712
19.37101121,15.77458129
17.92845928,14.27327988
